Company Name,Sector
BSmart,Computer Software
BSmart,Human Resources
Jessour Misr,Information Technology Services
Jessour Misr,Food Services/Restaurants/Catering
Jessour Misr,Investment Banking
Horizon Agency,Marketing and Advertising
Horizon Agency,Computer Software
Horizon Agency,Media Production
LINK Development,Information Technology Services
Fawry for Banking Technology and Electronic Payments S.A.E,Financial Services
Perfect Presentation,Information Technology Services
AGA,Agriculture/Fishing/Farming
Safa Soft,Marketing and Advertising
Safa Soft,Computer Software
Safa Soft,Information Technology Services
ICIS,Computer Software
ICIS,Information Technology Services
Holix,Information Technology Services
BDO Esnad,Outsourcing/Offshoring
The Address Investments for Real Estate Consultancy,Real Estate/Property Management
The Address Investments for Real Estate Consultancy,Consulting Services
ACT Advanced Computer Technology,Computer and Network Security
intella,Computer Software
intella,Information Technology Services
intella,Market Research
Algoriza,Computer Software
Asset Technology Group,Computer Software
Asset Technology Group,Information Technology Services
Itqanconstruction,Construction - Industrial Facilities and Infrastructure
Itqanconstruction,Construction - Residential & Commercial/Office
Kgroup,FMCG
Zewail City,Higher Education
Zewail City,Non-Profit Organizations
Breadfast,FMCG
Breadfast,Food and Beverage Production
Smart Cards application,Computer Software
Cepack,Packaging and Containers
Informatique Education,Information Technology Services
3D Diagnostix,Healthcare and Medical Services
3D Diagnostix,Medical Devices and Supplies
conveyou,Information Technology Services
conveyou,Training and Coaching
conveyou,Consulting Services
etmana,Marketing and Advertising
etmana,Apparel and Fashion
etmana,Internet/E-commerce
Olivery,Computer Software
Olivery,Logistics and Supply Chain
3S Software,Computer Software
3S Software,Information Technology Services
Alexandria Business Association- SMEs Project,Non-Profit Organizations
El Banna Group Company,Agriculture/Fishing/Farming
El Banna Group Company,FMCG
El Banna Group Company,Import and Export
Dimofinf Operations Center,Information Technology Services
Dimofinf Operations Center,Internet/E-commerce
MTS-IT,Computer Software
MTS-IT,Information Technology Services
Optasia,Computer Software
Optasia,Information Technology Services
Optasia,Telecommunications
Octane solutions,Information Technology Services
FlairsTech,Computer Software
Caduceus Lane,Marketing and Advertising
Caduceus Lane,Healthcare and Medical Services
Caduceus Lane,Pharmaceuticals
Arabia for Information Technology,Computer Software
Arabia for Information Technology,Information Technology Services
Arabia for Information Technology,Internet/E-commerce
Asass,Construction - Industrial Facilities and Infrastructure
Amer Vision Group,Engineering Services
Millensys,Computer Software
Servmix,Information Technology Services
classera,Information Technology Services
classera,E-Learning
GoodsMart,FMCG
GoodsMart,Internet/E-commerce
Agolo Egypt,Computer Software
eVision,Information Technology Services
Obeikan Digital Solutions,Computer Software
Obeikan Digital Solutions,Information Technology Services
Kyan Labs,Computer and Network Security
Al Ahly Momkn for e-payment,Banking
Al Ahly Momkn for e-payment,Information Technology Services
ERP-Bank,Accounting and Auditing Services
ERP-Bank,Information Technology Services
ERP-Bank,Financial Services
Arabic Localizer,Computer Software
Arabic Localizer,Translation and Localization
Arabic Localizer,E-Learning
Galaxy Consulting Solutions (G.C.S),Consulting Services
softprograms,Information Technology Services
Sutherland,Telecommunications
Sceel.io,Computer Software
Sceel.io,Outsourcing/Offshoring
Sceel.io,Recruitment and Staffing
Nile Creations,Marketing and Advertising
Nile Creations,Computer Software
Nile Creations,Information Technology Services
34ML,Computer Software
QARA,Information Technology Services
QARA,Internet/E-commerce
QARA,Wholesale Trade
idaco,Manufacturing
Bevatel,Computer Software
WSC,Computer Software
Elaraby Group,Manufacturing
Al Ahly capital holding - Al Ahly Tamkeen,Financial Services
YOUXEl Technology,Information Technology Services
TechJump,Computer Software
ITSS,Computer Software
Robiquity,Information Technology Services
Robiquity,Consulting Services
egabi solutions,Computer Software
egabi solutions,Information Technology Services
Erpplus5,Business Services - Other
Erpplus5,Computer Software
Erpplus5,Information Technology Services
GetTechForce.com,Computer Software
GetTechForce.com,Internet/E-commerce
GetTechForce.com,Recruitment and Staffing
Easy Cash,Financial Services
LINK TSP,Computer Software
Efada Technology,Information Technology Services
MedVAlley S.A.E,Alternative Medicine
MedVAlley S.A.E,Healthcare and Medical Services
MedVAlley S.A.E,Medical Devices and Supplies
Mubasher,Financial Services
Trans World Trading,Real Estate/Property Management
Trans World Trading,Retail
Enable,Outsourcing/Offshoring
Nahdet Misr Publishing Group,Publishing and Printing
Dedalus,Information Technology Services
Dedalus,Healthcare and Medical Services
Premier Services and Recruitment,Human Resources
K Line Europe,Medical Devices and Supplies
Link Datacenter,Information Technology Services
Yespays,Apparel and Fashion
Yespays,Computer Networking
Yespays,Retail
Nacita,Automotive
Nacita,Logistics and Supply Chain
Delta Egypt For Lighting,Other - Not Classified
Kandeel Group,Real Estate/Property Management
Bydotpy,Computer Software
Bydotpy,Information Technology Services
Skarpt Company,Construction - Industrial Facilities and Infrastructure
Cashcall,Accounting and Auditing Services
Lumin,Information Technology Services
SSC Egypt,Information Technology Services
SSC Egypt,Outsourcing/Offshoring
SSC Egypt,Recruitment and Staffing
International Advanced,Computer Software
ENOVA Facilities Management,Energy and Utilities
Callvita,Computer Software
New Energy EV,Automotive
Tawzef,Human Resources
Tawzef,Recruitment and Staffing
Tawzef,Consulting Services
Wicresoft,Information Technology Services
Airpoint,Computer Software
Fixed Solutions,Information Technology Services
Fixed Solutions,Internet/E-commerce
RDI,Computer Software
RDI,Research
RDI,E-Learning
Alromansiah,Food Services/Restaurants/Catering
Travolic.LLc,Travel and Tourism
BeConnected,Marketing and Advertising
BeConnected,Information Technology Services
BeConnected,Graphic Design
Simple Touch Software,Computer Hardware
Simple Touch Software,Computer Software
Simple Touch Software,Information Technology Services
MegaSoft,Information Technology Services
SABA,Telecommunications
Ejada,Computer and Network Security
Ejada,Computer Software
Ejada,Information Technology Services
Sarmady,Information Technology Services
Union Coop,Retail
Azdan Business Analytics,Management Consulting
BI-Technologies,Computer Software
Trufla,Computer Software
Trufla,Insurance
Samcrete Engineers & contractors,Construction - Industrial Facilities and Infrastructure
Samcrete Engineers & contractors,Construction - Residential & Commercial/Office
Samcrete Engineers & contractors,Engineering Services
Osolutions,Marketing and Advertising
Victory Link,Marketing and Advertising
CrossWorkers,Information Technology Services
CyberX,Information Technology Services
Expert Apps,Computer Software
Expert Apps,Information Technology Services
FinBi Finance & Banking Consultants International,Consulting Services
Our Education,Computer Software
Our Education,Hospitality/Hotels
Our Education,Education
Aswaq,Construction - Residential & Commercial/Office
Nahr Development,Information Technology Services
EGID company,Information Technology Services
EGID company,Financial Services
Al-Meshka,Other - Not Classified
waffarha.com,Marketing and Advertising
waffarha.com,Financial Services
TREX,Computer Software
TREX,Information Technology Services
TREX,Financial Services
eT3 - Tomorrow Information Technology,Computer Software
AK IT Consulting,Business Services - Other
AK IT Consulting,Computer Software
Nile University,Higher Education
Dexef,Computer Software
Dexef,Information Technology Services
Casita,Education
Casita,Travel and Tourism
Noases,Computer Software
Noases,Information Technology Services
Tie House,Apparel and Fashion
Tie House,Textile and Clothing
Tie House,Retail
Edentech,Computer Software
IQRA Network,Education
IQRA Network,E-Learning
Engosoft,Engineering Services
Elev8Assessments,Human Resources
Carpet Land,Other - Not Classified
GET Group- Egypt,Computer Software
GET Group- Egypt,Security and Surveillance
Charisma Design,Computer Software
LABS,Business Services - Other
Decorative Glass And Arab Union Glass Group,Manufacturing
IST Networks,Other - Not Classified
Anzma tech,Business Services - Other
Superior Business Solutions,Information Technology Services
DX Republic,Computer and Network Security
DX Republic,Computer Software
DX Republic,Information Technology Services
As-Salam International Hospital,Healthcare and Medical Services
Dynamicslink,Information Technology Services
Centione,Marketing and Advertising
Finiex Soft,Marketing and Advertising
Finiex Soft,Computer Software
Finiex Soft,Information Technology Services
ITS,Computer Software
Dorra Group,Real Estate/Property Management
Outservingplus,Outsourcing/Offshoring
Jumia,Internet/E-commerce
Jumia,Retail
Qsource,Information Technology Services
Qsource,Outsourcing/Offshoring
MICA,Education
MICA,Training and Coaching
Kode Clubs - Hassan Allam Sports Clubs,Sports
HITS Solutions,Biotechnology
HITS Solutions,Computer Software
HITS Solutions,Research
