Title,City,Name,Category
Dot Net Web Developer,Cairo,Tidal,IT/Software Development
Dot Net Web Developer,Cairo,Tidal,Engineering - Telecom/Technology
Full Stack wordpress Developer,Cairo,Osolutions,IT/Software Development
Full Stack wordpress Developer,Cairo,Osolutions,Engineering - Telecom/Technology
Front End Developer,Cairo,Safa Soft,Creative/Design/Art
Front End Developer,Cairo,Safa Soft,IT/Software Development
Front End Developer,Cairo,Safa Soft,Engineering - Telecom/Technology
IT Clerk,Giza,Nahdet Misr Publishing G...,IT/Software Development
IT Clerk,Giza,Nahdet Misr Publishing G...,Engineering - Telecom/Technology
SAP SD CX function consultant,Giza,Nahdet Misr Publishing G...,IT/Software Development
Senior Backend Developer (PHP),Cairo,iStoria,Business Development
Senior Backend Developer (PHP),Cairo,iStoria,IT/Software Development
Senior Backend Developer (PHP),Cairo,iStoria,Engineering - Telecom/Technology
UX Designer,Cairo,Safa Soft,Creative/Design/Art
UX Designer,Cairo,Safa Soft,IT/Software Development
UX Designer,Cairo,Safa Soft,Engineering - Telecom/Technology
C++ / Qt Developer,Cairo,Fruitful Solutions,IT/Software Development
C++ / Qt Developer,Cairo,Fruitful Solutions,Engineering - Telecom/Technology
Application Support - Microsoft dynamic Ax,Giza,Sky Distribution,IT/Software Development
Senior Scrum Master,Cairo,Softec Technologies,IT/Software Development
IT Sales Manager (integrated solutions),Cairo,Injaz Tech for advanced ...,Business Development
IT Sales Manager (integrated solutions),Cairo,Injaz Tech for advanced ...,IT/Software Development
IT Sales Manager (integrated solutions),Cairo,Injaz Tech for advanced ...,Sales/Retail
UI UX Designer,Cairo,DX Republic,Creative/Design/Art
UI UX Designer,Cairo,DX Republic,IT/Software Development
UI UX Designer,Cairo,DX Republic,Engineering - Telecom/Technology
Senior Flutter Developer,Cairo,DEVOPSOLUTION,IT/Software Development
Senior Flutter Developer,Cairo,DEVOPSOLUTION,Engineering - Telecom/Technology
Software Quality Assurance Engineer (Process Improvement),Cairo,BI-Technologies,IT/Software Development
Software Quality Assurance Engineer (Process Improvement),Cairo,BI-Technologies,Quality
Software Quality Assurance Engineer (Process Improvement),Cairo,BI-Technologies,Engineering - Telecom/Technology
Integration Engineer,Cairo,Obeikan Digital Solution...,IT/Software Development
Senior Software Quality Engineer,Cairo,Easy Cash,IT/Software Development
Senior Software Quality Engineer,Cairo,Easy Cash,Quality
Senior Software Quality Engineer,Cairo,Easy Cash,Engineering - Telecom/Technology
Senior Backend Developer (PHP),Cairo,Easy Cash,IT/Software Development
Senior Backend Developer (PHP),Cairo,Easy Cash,Engineering - Telecom/Technology
DevOps Engineer,Cairo,Easy Cash,IT/Software Development
DevOps Engineer,Cairo,Easy Cash,Engineering - Telecom/Technology
Senior Full Stack Developer Angular and Java,Cairo,TRIMETIS,IT/Software Development
Senior Full Stack Developer Angular and Java,Cairo,TRIMETIS,Engineering - Telecom/Technology
Senior Quality Control Engineer,Cairo,Tafeel,IT/Software Development
Senior Quality Control Engineer,Cairo,Tafeel,Quality
Senior Quality Control Engineer,Cairo,Tafeel,Engineering - Telecom/Technology
IT Account Manager,Cairo,Latalia,Creative/Design/Art
IT Account Manager,Cairo,Latalia,IT/Software Development
IT Account Manager,Cairo,Latalia,Strategy/Consulting
Sr. Backend Software Engineer,Cairo,FlapKap,Accounting/Finance
Sr. Backend Software Engineer,Cairo,FlapKap,IT/Software Development
Sr. Backend Software Engineer,Cairo,FlapKap,Engineering - Telecom/Technology
Senior Software Sales Representative,Cairo,MakanE Company,Customer Service/Support
Senior Software Sales Representative,Cairo,MakanE Company,IT/Software Development
Senior Software Sales Representative,Cairo,MakanE Company,Sales/Retail
Communications Field Engineer,Cairo,JRM for Communications,Installation/Maintenance/Repair
Communications Field Engineer,Cairo,JRM for Communications,IT/Software Development
Communications Field Engineer,Cairo,JRM for Communications,Engineering - Telecom/Technology
Odoo Developer,Cairo,JRM for Communications,IT/Software Development
Senior UI/UX Designer,Cairo,Tafeel,Creative/Design/Art
Senior UI/UX Designer,Cairo,Tafeel,IT/Software Development
Senior UI/UX Designer,Cairo,Tafeel,Engineering - Telecom/Technology
Technical Support Engineer-Freelancer,Cairo,Wicresoft,IT/Software Development
Technical Support Engineer-Freelancer,Cairo,Wicresoft,Engineering - Telecom/Technology
Senior Software Sales Representative,Cairo,BSmart,Business Development
Senior Software Sales Representative,Cairo,BSmart,IT/Software Development
Senior Software Sales Representative,Cairo,BSmart,Sales/Retail
Junior IT Specialist,Giza,Jessour Misr,Installation/Maintenance/Repair
Junior IT Specialist,Giza,Jessour Misr,IT/Software Development
Junior IT Specialist,Giza,Jessour Misr,Engineering - Telecom/Technology
Senior Full Stack Developer,Cairo,Horizon Agency,IT/Software Development
Senior Full Stack Developer,Cairo,Horizon Agency,Engineering - Telecom/Technology
WordPress Developer,Cairo,Horizon Agency,IT/Software Development
WordPress Developer,Cairo,Horizon Agency,Engineering - Telecom/Technology
.Net Development Manager,Cairo,LINK Development,IT/Software Development
.Net Development Manager,Cairo,LINK Development,Engineering - Telecom/Technology
IT Help Desk Engineer,Giza,Fawry for Banking Techno...,IT/Software Development
Quality Control Engineer,Giza,Perfect Presentation,IT/Software Development
Electrical Engineer,Dakahlia,AGA,Engineering - Mechanical/Electrical
Electrical Engineer,Dakahlia,AGA,Engineering - Other
Scrum Master,Cairo,Safa Soft,IT/Software Development
Scrum Master,Cairo,Safa Soft,Project/Program Management
Scrum Master,Cairo,Safa Soft,Engineering - Telecom/Technology
Full Stack Team Lead .Net & Angular,Cairo,ICIS,IT/Software Development
Full Stack Team Lead .Net & Angular,Cairo,ICIS,Engineering - Telecom/Technology
Senior Full Stack Developer .Net + Angular,Cairo,ICIS,IT/Software Development
Senior Full Stack Developer .Net + Angular,Cairo,ICIS,Engineering - Telecom/Technology
Senior SEO / Senior Search Engine Optimization,Giza,PETC,IT/Software Development
Python Web Developer - Graduate Position,Cairo,Holix,IT/Software Development
IT Voice Administrator,Cairo,BDO Esnad,IT/Software Development
Senior SEO Specialist,Cairo,The Address Investments ...,IT/Software Development
Senior SEO Specialist,Cairo,The Address Investments ...,Marketing/PR/Advertising
Senior SEO Specialist,Cairo,The Address Investments ...,Analyst/Research
Network & Security Senior Specialist,Cairo,ACT Advanced Computer Te...,IT/Software Development
Network & Security Senior Specialist,Cairo,ACT Advanced Computer Te...,Engineering - Telecom/Technology
Backend Developer,Giza,intella,IT/Software Development
Backend Developer,Giza,intella,Engineering - Telecom/Technology
Technical SME Engineer,Giza,Algoriza,IT/Software Development
.Net Technical Lead,Cairo,Asset Technology Group,IT/Software Development
Sr. Java Developer,Cairo,Asset Technology Group,IT/Software Development
