Title,City,Company,Type,Date Posted,Experience Needed,Career Level,Education Level,Salary,Description,,,,,,,,,
Dot Net Web Developer,Cairo,Tidal,Full Time,Posted 2 hours ago,More than 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Handle web-based systemsWork on Microsoft stack (C# ASP.NET MVCNetcore  T-SQL Web API)Develop from scratch in a .NET environment using ASP.NET MVC &Web API frameworkHandle multiple tasks under tight deadlinesAnalysis design and implementation of high-performance software applications and must be able to formulate creative solutions to difficult problems.Working with Entity Framework.Response Web Design BackgroundServer Side development concepts,,,,,,,,,
Full Stack wordpress Developer,Cairo,Osolutions,Full Time,Posted 2 hours ago,2 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,We Are looking for Experienced & professional Full Stack Developer in a wide range of technologies including HTML CSS HTML5 CSS3 CSS frameworks JavaScript jQuery PHP WordPress. Demonstrated ability to develop and deploy robust and dynamic web applications. Skilled in both front-end and back-end development with a strong focus on user experience and functionality.Responsibilities: Develop and maintain responsive web applications using HTML CSS and CSS frameworks.Implement advanced features and functionality using JavaScript jQuery and other front-end technologies.Design and optimize database schemas and write efficient queries for PHP and Laravel applications.Customize and extend WordPress functionality to meet project requirements.Collaborate with cross-functional teams to design develop and deploy high-quality web solutions.Debug and troubleshoot technical issues ensuring smooth operation of web applications.Stay updated with the latest industry trends and emerging technologies in web development.Provide mentorship and guidance to junior developers fostering a collaborative work environment.,,,,,,,,,
Front End Developer,Cairo,Safa Soft,Full Time,Posted 2 hours ago,2 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,We are seeking a skilled React.js Developer with a strong understanding of front-end web development and experience in building user interfaces using React.js. In addition to React.js knowledge of Angular is preferred. As a React.js Developer you will collaborate with the development team to create scalable and responsive web applications implement user interface components and contribute to the overall front-end development efforts. This role requires expertise in React.js proficiency in JavaScript and the ability to work in an agile development environment.Responsibilities:- Front-End Development:Develop user-facing features using React.js and other front-end technologies.Implement responsive and scalable web applications with clean and maintainable code.Collaborate with designers and back-end developers to translate UI/UX designs into functional components.- React.js Component Development:Build reusable and modular React.js components for efficient development and code reuse.Optimize components for maximum performance and reusability.Leverage React.js libraries and tools to streamline development processes.- Cross-Browser and Cross-Platform Compatibility:Ensure that web applications are compatible with various browsers and devices.Perform testing and debugging to identify and fix any issues related to cross-browser or cross-platform compatibility.- Code Quality and Documentation:Follow best practices for code quality maintainability and readability.Write clear and concise documentation for developed components and functionality.Collaborate with the development team to establish coding standards and guidelines.- Collaboration and Agile Development:Work closely with the development team to ensure seamless integration of front-end and back-end components.Participate in agile development processes including sprint planning daily stand-ups and code reviews.Collaborate with designers project managers and stakeholders to understand project requirements and provide input on technical feasibility and implementation.Preferred Knowledge in Angular:While the primary focus of this role is React.js development preferred knowledge in Angular is valued and may involve the following responsibilities:Develop Angular components and applications based on project requirements.Collaborate with other Angular developers and contribute to the overall front-end development efforts.Maintain and enhance existing Angular applications.Stay updated with the latest Angular features tools and best practices.,,,,,,,,,
IT Clerk,Giza,Nahdet Misr Publishing Group,Full Time,Posted 2 hours ago,3 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,IT Admin  will provide administrative support and assist in the smooth operation of the IT systems and processes. The ideal candidate should have strong organizational skills excellent attention to detail and a basic understanding of IT concepts and systems.Help manage IT-related procurement including processing purchase orders tracking deliveries and maintaining vendor relationships.Monitor and maintain inventory of IT equipment and supplies ensuring availability and proper allocation.Researching and selecting hardware software and other IT equipment based on organizational needs tracking equipment and ensuring timely replenishment of IT supplies.IT administrative support often involves liaising with external vendors and service providers. This includes managing vendor relationships coordinating service contracts and resolving issues related to software licenses warranties and maintenance.,,,,,,,,,
SAP SD CX function consultant,Giza,Nahdet Misr Publishing Group,Full Time,Posted 3 hours ago,3 to 4 years,Experienced (Non-Manager),Not Specified,Confidential,Job description:Providing Subject Matter Expertise of best practices in use of SAP Customer Experience (CX)Analyzing and translating business requirements into alternative functional solutions utilizing best practice and within the remit of the enterprise architectureDesigning building and testing SAP solutions in accordance with existing programmed templatesConversing with technical and non-technical audiencesProviding a level of operational support to users including training and remediationProviding guidance and consultancy to business users and other functional consultantsKey Responsibilities:Provide business functional and technical support on SAP Sales and CX solutionsGather requirements and assess gaps in the current business processes and configurationsProvide technology consulting expertise to develop alternatives and recommendations to address gapsDevelop solutions for SAP Sales and CX requirementsLead testing and defect resolution of implemented SAP Sales and CX solutions,,,,,,,,,
Senior Backend Developer (PHP),Cairo,iStoria,Full Time,Posted 3 hours ago,4 to 7 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,As a Senior Developer you will play an integral role in our engineering team responsible for developing and maintaining our backend systems integrating various platforms and ensuring that our applications are optimized and delivered efficiently. Identify and analyze user requirementsPrioritize assign and execute tasks throughout the software development life cycleWrite well-designed efficient codeReview test and debug team members’ codeDesign database architectureEnsure our applications are secure and up-to-dateDesign build and maintain efficient reusable and reliable backend codeDevelop robust APIs to serve the needsSet up and manage Continuous Integration and Continuous Deployment (CI/CD) workflows using GitHub Actions and AWS serverlessIdentify bottlenecks and bugs and devise solutions to these problems,,,,,,,,,
UX Designer,Cairo,Safa Soft,Full Time,Posted 4 hours ago,3 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,We are looking for a user-experience (UX) designer able to understand our business requirements and any technical limitations as well as be responsible for conceiving and conducting user research interviews and surveys and translating them into sitemaps user flows customer journey maps wireframes mockups and prototypes. The UX designer will also be expected to design the overall functionality of the product and in order to ensure a great user experience iterate upon it in accordance with user-testing.Your primary role will be to research and design usable interfaces perform usability testing and create prototypes to validate design concepts. The ideal candidate will use this information to help us create the best user experience possible for our website and mobile applications.As a UX designer you'll ensure that the user experience for individuals using websites or applications is as efficient and satisfying as possible. You'll be involved in the design of digital products and services for specific target groups and end users and will need to understand motivations.Translate concepts into user flows wireframes mockups and prototypes that lead to intuitive user experiences.Leverage a human-centered design process to deliver an easy-to-use user interface and user experienceResearch customers competitors and productsDesign and deliver wireframes user stories user journeys and mockups optimized for a wide range of devices and interfaces.Develop personas scenarios and user storiesWork with stakeholders to identify requirementsDevelop and implement usability testingDesign for accessibility standardsCreate and maintain usability documentationWork with developers to ensure product qualityWork closely with product managers and marketing to maximize customer successEnsure products are tested with customers and validated against business goals,,,,,,,,,
C++ / Qt Developer,Cairo,Fruitful Solutions,Full Time,Posted 4 hours ago,0 to 7 years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,"We are looking for a C++ / Qt Developer with the following requirements :As a frontend/backend software developer you will lead and participate in developing professional desktop applications for our products as well as all software development-related aspects of our technical operations and infrastructure.A motivated candidate.experience in C++ Qt MySQL  Linux ""Ubuntu""Fluent in English.You should be able to create/build Qt applications with database support (MYSQL) before applying for the interview.",,,,,,,,,
Application Support - Microsoft dynamic Ax,Giza,Sky Distribution,Full Time,Posted 4 hours ago,1 to 5 years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Providing technical support for Microsoft Dynamics AX 2012to business users via IT tickets and other communication channels.Analyzing classifying and prioritizing tickets based on severity and impact.Troubleshooting and resolving technical issues related to Microsoft Dynamics AX 2012.Collaborating with cross-functional teams to resolve complex issues.Escalating issues to higher levels of support when necessary.Documenting issues and resolutions in a knowledge base for future reference.Participating in business testing for the new released features.Understanding the overlapping and integrations rules among the various applications& corporate solutions (Sales Force Automation Ecommerce Retail CRM HRMS …etc.).Monitoring the corporate applications to ensure service availability 24/7Recording and track incidents complaints or requests.Skills to write Change Requests Documents for AX developers,,,,,,,,,
Senior Scrum Master,Cairo,Softec Technologies,Full Time,Posted 5 hours ago,5 to 7 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,We are looking for a senior scrum master to help lead the organization's agile transformation strategy. Scrum masters will be critical in ensuring that development teams and scrum masters follow  Agile framework principles and practices mentoring and motivating teams to improve processes facilitating agile ceremonies and decision-making processes and removing team impediments.To be successful in this role as a senior scrum master you should have past expertise with agile transformations a strong understanding of agile methods and the ability to effectively lead and mentor development teams. A great scrum master should have strong interpersonal project management and problem-solving abilities.Scrum Master Key Responsibilities:Scrum Master Leadership:Provide leadership to multiple scrum teams and support them in adopting and adhering to Agile principles values and practices.Foster a culture of continuous improvement and self-organization within the teams helping them take ownership of their processes and outcomes.Act as a role model for Agile values and behaviors setting a high standard for the organization.Agile Transformation and Framework Implementation:Support in the organisation agile transformation strategy Ensure the effective implementation of the agile framework principles and practices across the organization including the coordination and alignment of Agile Release Trains (ARTs) with portfolio objectives.Collaborate with Portfolio Managers Product Owners and business team roles to ensure consistent and synchronized delivery.Facilitation:Facilitate various Scrum ceremonies Daily stand-ups Sprint planning retrospective and Quarterly Program Increment (PI) Planning bringing cross-functional teams together to plan and prioritize work backlogs for the upcoming PI.Lead Inspect and Adapt (I&A) workshops at the end of each PI focusing on the identification and resolution of systemic issues and continuous improvement.Team Coaching:Provide guidance and coaching to Agile teams and individuals helping them understand and embrace Agile practices and principles.Support the development of high-performing self-organizing teams by offering feedback and guidance on Agile roles and responsibilities.Performance Monitoring:Continuously monitor team velocity performance progress and the execution of their commitments.Identify impediments bottlenecks and roadblocks that hinder progress and work with teams to resolve issues promptly.Conflict Resolution:Effectively manage team and priorities conflict and obstacles that may arise within scrum teams ensuring teams remain focused on their goals and commitments.Encourage open communication collaboration and problem-solving among team members.Stakeholder Engagement:Actively engage with stakeholders Program Managers Business Owners and Product Owners to understand their needs and provide visibility into the progress and delivery of value.Ensure scrum teams alignment and customer satisfaction.Collaboration:Foster collaboration among scrum teams Agile Release Trains (ARTs) and other parts of the organization to promote a culture of transparency and shared objectives.Encourage knowledge sharing and cross-team collaboration to leverage synergies and reduce duplication of effort.Training and Development:Support the professional development of Scrum Masters and scrum teams by providing training guidance and resources.Encourage continuous learning and skill development to help teams adapt to evolving Agile practices.,,,,,,,,,
